"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1258839453478641665","https://twitter.com/CovidFoodFuture/status/1258839453478641665","Réouverture des #marchés au #Burkina: Le maire de #Ouagadougou prévient que l'accès aux marchés est conditionné par le strict respect des mesures barrières édictées par le ministère de la santé. Les contrevenants seront sanctionnés. @ed_sango #Covid19FoodFuture

📷 @AibBurkina https://t.co/TTVYsRqqqL","2020-05-08 19:21 +0000","622.0","17.0","0.027331189710610933","3.0","0.0","6.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258838247926620160","https://twitter.com/CovidFoodFuture/status/1258838247926620160","#COVID19 #Burkina: 12 autres marché de Ouagadougou ont réouvert ce jeudi 7 mai selon un arrêté de la mairie centrale. Le 29 avril dernier, la maire autorisait la réouverture de 27 marchés de la commune. @ed_sango #Covid19FoodFuture #lwili #Ouagadougou
📷 @AibBurkina https://t.co/qtwtLmM1vd","2020-05-08 19:16 +0000","890.0","25.0","0.028089887640449437","7.0","0.0","9.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258836278046572544","https://twitter.com/CovidFoodFuture/status/1258836278046572544","NIGERIA – Nigerian SMEs in nutritious food production and processing are experiencing difficulty in accessing raw materials, especially agricultural produce. This creates a gap between supply and demand.
Learn more here &gt; https://t.co/1YjK7O0MBY
#Covid19FoodFuture @JohnAgboola_ https://t.co/Gy70WzAG2A","2020-05-08 19:08 +0000","655.0","22.0","0.03358778625954199","5.0","0.0","8.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258835582068850690","https://twitter.com/CovidFoodFuture/status/1258835582068850690","NIGERIA – As the raining season starts in preparation for the new farming season, farmers are finding it difficult to access inputs from the urban cities where there are restrictions in movements.
Link here &gt; https://t.co/bNnKODjVog
#Covid19FoodFuture @JohnAgboola_

📷BusinessDay https://t.co/xcNGqNzuz6","2020-05-08 19:06 +0000","958.0","36.0","0.037578288100208766","5.0","0.0","10.0","1.0","3.0","0.0","4.0","0.0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258834108504997888","https://twitter.com/CovidFoodFuture/status/1258834108504997888","NIGERIA – Some farmers and agricultural experts believed that farming season will progress slower than usual this year, due to the coronavirus pandemic and the govt preventive lockdown in states. Here is why &gt; https://t.co/bNnKODjVog #Covid19FoodFuture @JohnAgboola_ 

📷- Rural21 https://t.co/tH4yneouEp","2020-05-08 19:00 +0000","1516.0","46.0","0.030343007915567283","8.0","0.0","12.0","3.0","2.0","0.0","7.0","0.0","0","0","0","0","0","14","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258816739367882753","https://twitter.com/CovidFoodFuture/status/1258816739367882753","🍅#Kenya In the Webinar by @aphrc that tackled food insecurity during #Covid19, @_Atamba explains that food aid is not sustainable as is disrupts markets.

🍅Government buys food at highprices that other buyers cannot compete with.

#Covid19FoodFuture @sharonjcheboi https://t.co/C1XAU7FT1k","2020-05-08 17:51 +0000","1225.0","48.0","0.03918367346938775","9.0","0.0","14.0","10.0","0.0","0.0","3.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258810679194267653","https://twitter.com/CovidFoodFuture/status/1258810679194267653","#KENYA- Food has cultural value- including usage in religious ceremonies such as during the current month of Ramadan among Muslims. @olareeh writes about how they are adapting to food system disruptions due to #COVID19 https://t.co/pOLX1Qq2HV #Covid19FoodFuture https://t.co/2imMLaIpUl","2020-05-08 17:27 +0000","1194.0","48.0","0.04020100502512563","8.0","0.0","12.0","0.0","1.0","1.0","1.0","0.0","0","0","0","0","0","25","25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258808352643170308","https://twitter.com/CovidFoodFuture/status/1258808352643170308","#KENYA- Due to loss of incomes &amp; closure of mosques due to #COVID19, many poor Muslim households are finding it difficult to access food for Ramadan festivities. @olareeh explains how this problem is being addressed: https://t.co/pOLX1Qq2HV #Covid19FoodFuture https://t.co/QjU4m0FBGU","2020-05-08 17:17 +0000","518.0","21.0","0.04054054054054054","3.0","0.0","11.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258805978939695105","https://twitter.com/CovidFoodFuture/status/1258805978939695105","#KENYA-The month of Ramadan is here, smack in the middle of #COVID19. This is a period many Muslims share meals with the less fortunate. How has effects of the virus impacted this age-old tradition? @olareeh writes about it here: https://t.co/pOLX1Qq2HV #Covid19FoodFuture https://t.co/lTo83Flq4n","2020-05-08 17:08 +0000","752.0","26.0","0.034574468085106384","5.0","0.0","11.0","2.0","0.0","2.0","2.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258773293714325505","https://twitter.com/CovidFoodFuture/status/1258773293714325505","#Madagascar - Légère hausse du prix du sucre de 200Ar (0,05€) par kilo dû aux difficultés d'approvisionnement au niveau de certains distributeur limitant le temps de vente lié aux mesures de confinement. 
👉https://t.co/cn0NZuXbqc 

#Covid19FoodFuture @mayadisraeli","2020-05-08 14:58 +0000","526.0","11.0","0.02091254752851711","5.0","0.0","4.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258773139892441089","https://twitter.com/CovidFoodFuture/status/1258773139892441089","L'Indice FAO (prix mondiaux) de ces produits alimentaires sont en baisse de: 14,6% pour le sucre; 5,2% huile végétale; 3,6% produits laitiers; 2,7% viande. En hausse de 7,2% pour le riz et 2,5% pour le blé.
👉 https://t.co/mJ4hP1NvNa 

#Covid19FoodFuture #FAO @Maya_disraeli https://t.co/ELsLKmtr9G","2020-05-08 14:57 +0000","503.0","19.0","0.03777335984095427","4.0","0.0","4.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258772061075451912","https://twitter.com/CovidFoodFuture/status/1258772061075451912","#Madagascar - ""Il est temps de prioriser nos atouts pour parvenir à cette fin. Produire et consommer localement pour soutenir nos paysans qui composent 80% de notre population."" - Président du Sénat. 

#Covid19FoodFuture @Maya_disraeli https://t.co/rLzEaWR0eX","2020-05-08 14:53 +0000","768.0","22.0","0.028645833333333332","5.0","0.0","7.0","1.0","0.0","1.0","2.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
